gene_name	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000042306.11	S100a14	689.607702320432	8.69345199508502	0.486062082186979	17.8854765958494	1.53039012989118e-71	1.99229844645394e-69
ENSMUSG00000073722.3	Spata31e2	563.215088566221	8.26103598026791	0.462146501968204	17.875361914643	1.83480760852821e-71	2.37366766805784e-69
ENSMUSG00000002228.7	Ppm1j	243.689753868581	3.85414153358973	0.215958011234136	17.8467171074805	3.06534315473781e-71	3.94096509067813e-69
ENSMUSG00000026249.10	Serpine2	14774.091942585	-1.90895275794513	0.107128142292823	-17.8193396906596	5.00234837008559e-71	6.39158079706183e-69
ENSMUSG00000030091.17	Nup210	516.891237927248	8.1392982797687	0.458298968454919	17.7598005668855	1.44747959696449e-70	1.83812148328638e-68
ENSMUSG00000027220.2	Syt13	979.41562852447	-2.22941038821994	0.125544251325719	-17.7579647389496	1.49560202437775e-70	1.88765038430457e-68
ENSMUSG00000000889.8	Dbh	232.648564878512	5.12977329638729	0.289433138946477	17.7235174764695	2.76095971006438e-70	3.46358212355288e-68
ENSMUSG00000026981.15	Il1rn	4976.13958160135	-1.67714147211513	0.0946357738383028	-17.722066445832	2.83311273887619e-70	3.51153296898193e-68
ENSMUSG00000044641.7	Pard6b	284.912239093641	3.03328767579405	0.17115706108155	17.72224678682	2.82404391873496e-70	3.51153296898193e-68
ENSMUSG00000044393.15	Dsg2	322.347444755929	7.00233881429289	0.39710747727262	17.6333592668307	1.36604182752373e-69	1.68307736832819e-67
ENSMUSG00000025357.8	Dgka	863.995406017134	2.08058952940368	0.11817936796981	17.605353329823	2.24104748374596e-69	2.74481904532886e-67
ENSMUSG00000018411.17	Mapt	225.116413282456	5.19817264251116	0.29627329606319	17.5451946280115	6.4730678247614e-69	7.88153122969036e-67
ENSMUSG00000028392.15	Bspry	274.419272594239	6.5065834830369	0.371057853895853	17.5352264201451	7.71417304757073e-69	9.3377583574074e-67
ENSMUSG00000037465.10	Klf10	1638.66366386579	1.82175078791539	0.103893352801198	17.5348156431273	7.77011956459782e-69	9.3507967946285e-67
ENSMUSG00000050296.14	Abca12	292.489289362157	6.67756048179873	0.381500440188444	17.5034148807281	1.34931210810369e-68	1.61441683963227e-66
ENSMUSG00000036553.16	Sh3tc1	214.898432846979	3.473559342481	0.19852879396969	17.4965015050226	1.52344041950829e-68	1.81228122088517e-66
ENSMUSG00000078670.3	Fam174b	304.327881910343	2.79112757113328	0.159628449991172	17.485151119914	1.85919497429029e-68	2.19905581559055e-66
ENSMUSG00000024222.17	Fkbp5	766.872942308076	2.1106837689243	0.121015299693066	17.4414621479901	3.99715601980804e-68	4.70097343488674e-66
ENSMUSG00000038028.9	Tigar	845.483623970025	2.3766411070985	0.136382695451803	17.4262658413171	5.21416764558889e-68	6.09763028791211e-66
ENSMUSG00000054423.14	Cadps	204.563362311341	4.21436031040237	0.242057775346022	17.4105554113184	6.8615014147293e-68	7.97900099907201e-66
ENSMUSG00000049044.16	Rapgef4	228.849077427672	5.4885031424634	0.315577101118778	17.3919562699754	9.49377758688455e-68	1.09783073894371e-65
ENSMUSG00000023039.17	Krt7	505.930410725166	3.37068191986589	0.194393971907111	17.3394364382684	2.37049682282448e-67	2.72593965198021e-65
ENSMUSG00000041649.13	Klf8	477.606701958564	3.28505400243348	0.190055216534867	17.2847347330285	6.13027228386181e-67	7.01052519357214e-65
ENSMUSG00000022596.3	Slurp1	1258.16903001344	2.37202613639432	0.137375653392721	17.2667141361163	8.37787476637016e-67	9.5282214169833e-65
ENSMUSG00000032420.8	Nt5e	1375.97272066583	2.44296734408976	0.141571825291143	17.2560277376221	1.00811885622182e-66	1.14027607677243e-64
ENSMUSG00000026202.13	Tuba4a	1818.53834112486	2.17812658386923	0.126295047443585	17.246334103815	1.19228412865517e-66	1.3412548466866e-64
ENSMUSG00000092035.8	Peg10	1381.78833206598	1.63795510623214	0.0949871443721401	17.2439661920457	1.24214819718443e-66	1.38979597478489e-64
ENSMUSG00000041605.16	Inava	271.494659525274	2.98176385036828	0.172947937282092	17.2408176543024	1.31168427270618e-66	1.45970713767447e-64
ENSMUSG00000092060.4	Bend4	274.891032472316	4.31800912509949	0.251926110490295	17.139982500011	7.46731438864803e-66	8.26555831714575e-64
ENSMUSG00000052397.8	Ezr	2232.35334157544	1.91244248512555	0.111600271451757	17.1365397256428	7.92274802274233e-66	8.72302985759274e-64
ENSMUSG00000014602.15	Kif1a	2169.82533394524	-1.76832523593867	0.103625840782326	-17.0645200327317	2.72620672676161e-65	2.98570121890151e-63
