##FastQC	0.11.9
>>Basic Statistics	pass
#Measure	Value
Filename	sub1.fastq
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	5000000
Sequences flagged as poor quality	0
Sequence length	101
%GC	46
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1104	7	0.13395377617825233
1104	8	0.18663839119437142
1104	9	0.22162538732108317
1104	10-11	0.16735191327757803
1104	12-13	0.2079775226288021
1104	14-15	0.2116244659524824
1104	16-17	0.21040244997968927
1104	18-19	0.21327489986321524
1104	20-21	0.19803851033117326
1104	22-23	0.1209855902916459
1104	24-25	0.16280030186827332
1104	26-27	0.19029610277139142
1104	28-29	0.21422889658769861
1104	30-31	0.22092647657127884
1104	32-33	0.204963997031264
1104	34-35	0.27829993540498776
1104	36-37	0.23968197915708345
1104	38-39	0.2616088824074012
1104	40-41	0.23738694413827943
1104	42-43	0.268889046125679
1104	44-45	0.26484664299511707
1104	46-47	0.2737610094411451
1104	48-49	0.30855580686242234
1104	50-51	0.2332555205591973
1104	52-53	0.260492573442761
1104	54-55	0.20484239558678752
1104	56-57	0.28521041256842494
1104	58-59	0.21746143819220976
1104	60-61	0.3481278830492087
1104	62-63	0.33652242444207303
1104	64-65	0.2700526885145109
1104	66-67	0.3057776010305062
1104	68-69	0.3306264168465489
1104	70-71	0.369006745395545
1104	72-73	0.27686753690071697
1104	74-75	0.24374429218625693
1104	76-77	0.23111646555015852
1104	78-79	0.22323236281092562
1104	80-81	0.29046208957988284
1104	82-83	0.2587155704037549
1104	84-85	0.34886302570801675
1104	86-87	0.3534851882359398
1104	88-89	0.35728141500737465
1104	90-91	0.4147504377123177
1104	92-93	0.45335627749138396
1104	94-95	0.40041261564683595
1104	96-97	0.39627274684970715
1104	98-99	0.4649091300200112
1104	100-101	0.5025930209336771
1105	1	0.10043324385988228
1105	2	0.09393062162289567
1105	3	0.1449504802676671
1105	4	0.10044342377036486
1105	5	0.06273520415843592
1105	6	0.07055185680147247
1105	7	0.05719972040404997
1105	8	0.030537956438038805
1105	9	0.08408086733916775
1105	10-11	0.04906126223632867
1105	12-13	0.09664869356183914
1105	14-15	0.12584824614866363
1105	16-17	0.07585995171342574
1105	18-19	0.07021505552958729
1105	20-21	0.07975434251235214
